      167.893  7.2E-10 -7.1E-10
      168.063  5.7E-10 -8.7E-10
      168.383 -1.6E-11  1.2E-11
      168.712 -2.0E-10  2.9E-10
      168.880  5.8E-10 -5.8E-10
      169.244  2.2E-10 -1.7E-10
      169.509  4.6E-10 -1.1E-09
      169.727  1.9E-11 -1.5E-11
      170.105  6.1E-10 -5.3E-10
      170.297 -2.0E-10  3.9E-10
      170.598 -5.6E-11  4.1E-11
      170.950  2.5E-10 -3.0E-10
      171.116  7.2E-10 -7.7E-10
      171.482  1.5E-10 -1.1E-10
      171.761  2.4E-10 -5.8E-10
      171.977  7.8E-11 -6.1E-11
      172.363  5.9E-10 -5.0E-10
      172.556 -1.3E-10  2.5E-10
      172.867 -4.0E-11  2.8E-11
      173.218  4.7E-11 -6.1E-11
      173.389  6.0E-10 -5.9E-10
      173.769  2.2E-10 -1.6E-10
      174.028  5.2E-10 -1.3E-09
      174.272  1.5E-11 -1.1E-11
      174.658  6.3E-10 -5.9E-10
